corner,duty,candidate,seed,margin_vs_ruler_pct
hot_alt_2000m_45C,LH-520,S7,8107,1.10517
hot_alt_2000m_45C,LH-520,S7,8108,2.59356
hot_alt_2000m_45C,LH-520,S4p,8101,2.02818
hot_alt_2000m_45C,LH-520,S4p,8102,0.172362
hot_alt_2000m_45C,LH-520,S4p,8103,-0.204903
hot_alt_2000m_45C,LH-520,S4p,8104,-0.0581564
hot_alt_2000m_45C,LH-520,S4p,8105,-3.49362
hot_alt_2000m_45C,LH-520,S4p,8106,1.91054
hot_alt_2000m_45C,LH-520,S4p,8107,-0.403804
hot_alt_2000m_45C,LH-520,S4p,8108,2.28432
